GBS name (Sample:Flowcell:Lane:Well),Additional file 1.xlsx (Romay et al. 2013),Inbred name,Source,Accession,Seed lot,Notes
NSL53083:81N4HABXX:3:C8,SC213R,SC 213R,NCRPIS,NSL 53083,04ncai02 SD,
NSL53084:D0D0BACXX:4:C1,SC152,SC 152,NCRPIS,NSL 53084,12748,
NSL53086:D0D0BACXX:4:A9,SC212M,SC 212M,NCRPIS,NSL 53086,12536,
NSL53087:D0D0BACXX:4:A7,SC235R3,SC 235R3,NCRPIS,NSL 53087,12428,
NSL53089:D0D0BACXX:4:G7,SC285,SC 285,NCRPIS,NSL 53089,12481,
NSL53091:D0D0BACXX:4:A2,SC343,SC 343,NCRPIS,NSL 53091,12773,
NSL53092:D0D0BACXX:4:C9,SC344,SC 344,NCRPIS,NSL 53092,12544,
NSL53093:D0D0BACXX:4:C6,SC353,SC 353,NCRPIS,NSL 53093,12388,
NSL53094:81N4HABXX:3:H7,SC357,SC357,NCRPIS,NSL 53094,04ncai01 SD,
NSL53095:D0D0BACXX:4:E6,SC359,SC 359,NCRPIS,NSL 53095,12394,
NSL53096:D0D0BACXX:4:F4,SC375,SC 375,NCRPIS,NSL 53096,12357,
NSL53096:D0D0BACXX:4:F5,SC375,SC 375,NCRPIS,NSL 53096,12357,
NSL53098:D0D0BACXX:4:D10,SC333,SC 333,NCRPIS,NSL 53098,12328,
NSL54069:D0D0BACXX:4:C8,MP462,MP462,NCRPIS,NSL 54069,12458,
NSL65862:D0D0BACXX:3:F4,B06,B06,NCRPIS,NSL 65862,11812,
NSL65863:81FENABXX:1:A2,B7,B7,NCRPIS,NSL 65863,99ncai01 SD,
NSL65864:81FENABXX:6:B3,B8,B8,NCRPIS,NSL 65864,08ncai01 SD,
NSL65865:81FE8ABXX:7:F1,B10,B10,NCRPIS,NSL 65865,06ncai01 SD,
NSL65865:81N4HABXX:1:B9,B10,B10,NCRPIS,NSL 65865,04ncai02 SD,
NSL65866:81FE7ABXX:5:H4,B14,B14,NCRPIS,NSL 65866,98ncai04 SD,
NSL65866:D0D0BACXX:3:E12,B14,B14,NCRPIS,NSL 65866,11202,
NSL65868:81FENABXX:2:C3,B21,B21,NCRPIS,NSL 65868,03ncai01 SD,
NSL65869:D0D0BACXX:3:F7,B38,B38,NCRPIS,NSL 65869,11854,
NSL65871:81FE7ABXX:4:C2,I205,I 205,NCRPIS,NSL 65871,04ncai01 SD,
NSL65872:81FENABXX:5:D5,L289,L 289,NCRPIS,NSL 65872,08ncai01 SD,
NSL65873:81FE8ABXX:7:F3,L317,L317,NCRPIS,NSL 65873,08ncai01 SD,
NSL65874:81N4HABXX:6:H7,Os420,Os420,NCRPIS,NSL 65874,98ncab01 SD,
NSL67786:81FENABXX:5:A5,Mo301ae,Mo301ae,NCRPIS,NSL 67786,02ncai01 SD,
NSL67788:81FENABXX:4:H4,Mo303ae,Mo303ae,NCRPIS,NSL 67788,02ncai01 SD,
NSL67789:81FENABXX:3:B12,Mo304ae,Mo304ae,NCRPIS,NSL 67789,02ncai01 SD,
NSL67790:81FENABXX:5:H5,Mo305ae,Mo305ae,NCRPIS,NSL 67790,01ncai01 SD,
NSL67790:C07W2ACXX:1:E5,Mo305ae,Mo305ae,NCRPIS,NSL 67790,01ncai01 SD,
NSL67790:C07W2ACXX:2:E5,Mo305ae,Mo305ae,NCRPIS,NSL 67790,01ncai01 SD,
NSL67790:D0D0BACXX:1:E5,Mo305ae,Mo305ae,NCRPIS,NSL 67790,01ncai01 SD,
NSL67790:D0D7RACXX:1:E5,Mo305ae,Mo305ae,NCRPIS,NSL 67790,01ncai01 SD,
NSL67790:D0D7RACXX:2:E5,Mo305ae,Mo305ae,NCRPIS,NSL 67790,01ncai01 SD,
NSL67792:81FE7ABXX:3:D5,Mo307ae,Mo307ae,NCRPIS,NSL 67792,03ncai01 SD,
NSL67793:81FE7ABXX:2:H1,Mo308ae,Mo308ae,NCRPIS,NSL 67793,08ncai01 SD,
NSL67796:81FENABXX:5:F2,Mo311ae,Mo311ae,NCRPIS,NSL 67796,02ncai01 SD,
NSL67797:81FE7ABXX:3:F3,Mo312ae,Mo312ae,NCRPIS,NSL 67797,02ncai01 SD,
NSL67798:81FE7ABXX:1:C6,Mo313ae,Mo313ae,NCRPIS,NSL 67798,07ncai01 SD,
NSL67799:81FE7ABXX:2:A3,Mo314ae,Mo314ae,NCRPIS,NSL 67799,02ncai01 SD,
NSL68211:81N4HABXX:6:H1,OH422,OH422,NCRPIS,NSL 68211,01ncai01 SD,
NSL68211:D0D0BACXX:3:D10,OH422,OH422,NCRPIS,NSL 68211,10734,
NSL68241:D0D0BACXX:4:F2,SC152,SC 152,NCRPIS,NSL 68241,12781,
NSL68242:D0D0BACXX:4:G6,SC212M,SC 212M,NCRPIS,NSL 68242,12405,
NSL68243:D0D0BACXX:4:A11,SC235R3,SC 235R3,NCRPIS,NSL 68243,12671,
NSL68244:D0D0BACXX:4:B3,SC277,SC 277,NCRPIS,NSL 68244,12875,
NSL68245:D0D0BACXX:4:B5,SC301D,SC301D,NCRPIS,NSL 68245,12826,
NSL68245:D0D0BACXX:4:C6,SC301D,SC301D,NCRPIS,NSL 68245,12885,
NSL68248:D0D0BACXX:4:F9,SC333,SC 333,NCRPIS,NSL 68248,12548,
NSL68249:D0D0BACXX:4:G3,SC343,SC 343,NCRPIS,NSL 68249,12867,
NSL68252:81FE7ABXX:5:D9,SC357,SC 357,NCRPIS,NSL 68252,07ncai01 SD,
NSL75970:81FE7ABXX:5:H2,IA28,IA 28,NCRPIS,NSL 75970,01ncfo01 SD,
NSL75971:81FE7ABXX:6:D4,IA61,IA 61,NCRPIS,NSL 75971,01ncfo01 SD,
NSL75976:81FENABXX:4:H1,IADS61,IA DS 61,NCRPIS,NSL 75976,88ncab01 SD,
NSL75976:D0D0BACXX:3:E9,IADS61,IA DS 61,NCRPIS,NSL 75976,11879,
NSL75977:81FENABXX:2:H6,IADS62,IA DS 62,NCRPIS,NSL 75977,01ncai01 SD,
NSL75979:81FENABXX:2:H1,Sg18,SG 18,NCRPIS,NSL 75979,01ncai01 SD,
NSL75980:81FE7ABXX:6:A5,SG30A,SG 30A,NCRPIS,NSL 75980,95ncai01 SD,
NSL81595:81FE8ABXX:6:G2,A238,A238,NCRPIS,NSL 81595,02ncai01 SD,
NSL81595:D0D0BACXX:3:B2,A238,A238,NCRPIS,NSL 81595,11274,
NSL81596:81FENABXX:3:H6,A258,A258,NCRPIS,NSL 81596,97ncai01 SD,
NSL81597:81FE8ABXX:6:E11,A648,A648,NCRPIS,NSL 81597,08ncai01 SD,
NSL81598:81FENABXX:2:F12,A657,A657,NCRPIS,NSL 81598,08ncai01 SD,
NSL81599:81FENABXX:7:H6,A659,A659,NCRPIS,NSL 81599,04ncai01 SD,
NSL81600:81FENABXX:3:A4,A660,A660,NCRPIS,NSL 81600,02ncai01 SD,
NSL81600:D0D0BACXX:3:H3,A660,A660,NCRPIS,NSL 81600,10201,
NSL8579:81FE7ABXX:6:C7,245,245,NCRPIS,NSL 8579,95ncai01 SD,
NSL8581:81FE7ABXX:3:H3,Jan-81,Jan-81,NCRPIS,NSL 8581,04ncai02 SD,
NSL8582:D0D0BACXX:3:D8,P51B,P51B,NCRPIS,NSL 8582,10565,
NSL8583:81FENABXX:2:H8,P39A,P39A,NCRPIS,NSL 8583,94ncai01 SD,
NSL8585:81FENABXX:2:E10,P39,P39,NCRPIS,NSL 8585,94ncai01 SD,
NSL91618:D0D0BACXX:3:H8,Oh28,Oh28,NCRPIS,NSL 91618,11869,
Oh40B:627C3AAXX:5:D8,Oh40B,Oh40B,Goodman,Oh40B,,Maize Association Panel (282)
Oh40B:8042MABXX:2:D8,Oh40B,Oh40B,Goodman,Oh40B,,Maize Association Panel (282)
Oh43:627C3AAXX:7:G2,Oh43,Oh43,Goodman,Oh43,,Maize Association Panel (282)
Oh43:8042MABXX:4:G2,Oh43,Oh43,Goodman,Oh43,,Maize Association Panel (282)
Oh43:C07W2ACXX:1:A9,Oh43,Oh43,Goodman,Oh43,,Maize Association Panel (282)
Oh43:C07W2ACXX:2:A9,Oh43,Oh43,Goodman,Oh43,,Maize Association Panel (282)
Oh43:D0D0BACXX:1:A9,Oh43,Oh43,Goodman,Oh43,,Maize Association Panel (282)
Oh43:D0D7RACXX:1:A9,Oh43,Oh43,Goodman,Oh43,,Maize Association Panel (282)
Oh43:D0D7RACXX:2:A9,Oh43,Oh43,Goodman,Oh43,,Maize Association Panel (282)
Oh43E:627C3AAXX:5:E7,Oh43E,Oh43E,Goodman,Oh43E,,Maize Association Panel (282)
Oh43E:8042MABXX:2:E7,Oh43E,Oh43E,Goodman,Oh43E,,Maize Association Panel (282)
Oh603:627C3AAXX:5:D7,Oh603,Oh603,Goodman,Oh603,,Maize Association Panel (282)
Oh603:8042MABXX:2:D7,Oh603,Oh603,Goodman,Oh603,,Maize Association Panel (282)
OH7B:627C3AAXX:7:B11,Oh7B,OH7B,Goodman,OH7B,,Maize Association Panel (282)
OH7B:8042MABXX:4:B11,Oh7B,OH7B,Goodman,OH7B,,Maize Association Panel (282)
OH7B:C07W2ACXX:1:G9,Oh7B,OH7B,Goodman,OH7B,,Maize Association Panel (282)
OH7B:C07W2ACXX:2:G9,Oh7B,OH7B,Goodman,OH7B,,Maize Association Panel (282)
OH7B:D0D0BACXX:1:G9,Oh7B,OH7B,Goodman,OH7B,,Maize Association Panel (282)
OH7B:D0D7RACXX:1:G9,Oh7B,OH7B,Goodman,OH7B,,Maize Association Panel (282)
OH7B:D0D7RACXX:2:G9,Oh7B,OH7B,Goodman,OH7B,,Maize Association Panel (282)
Os420:627C3AAXX:5:H5,Os420,Os420,Goodman,Os420,,Maize Association Panel (282)
Os420:8042MABXX:2:H5,Os420,Os420,Goodman,Os420,,Maize Association Panel (282)
P39:627C3AAXX:7:C5,P39,P39,Goodman,P39,,Maize Association Panel (282)
P39:8042MABXX:4:C5,P39,P39,Goodman,P39,,Maize Association Panel (282)
P39:81FE8ABXX:4:E2,P39,P39,Flint-Garcia,P39,,
P39:C07W2ACXX:1:D9,P39,P39,Goodman,P39,,Maize Association Panel (282)
P39:C07W2ACXX:2:D9,P39,P39,Goodman,P39,,Maize Association Panel (282)
P39:D0D0BACXX:1:D9,P39,P39,Goodman,P39,,Maize Association Panel (282)
P39:D0D7RACXX:1:D9,P39,P39,Goodman,P39,,Maize Association Panel (282)
P39:D0D7RACXX:2:D9,P39,P39,Goodman,P39,,Maize Association Panel (282)
Pa762:627C3AAXX:7:F8,Pa762,Pa762,Goodman,Pa762,,Maize Association Panel (282)
Pa762:8042MABXX:4:F8,Pa762,Pa762,Goodman,Pa762,,Maize Association Panel (282)
Pa875:627C3AAXX:5:C10,Pa875,Pa875,Goodman,Pa875,,Maize Association Panel (282)
Pa875:8042MABXX:2:C10,Pa875,Pa875,Goodman,Pa875,,Maize Association Panel (282)
Pa880:627C3AAXX:7:F2,Pa880,Pa880,Goodman,Pa880,,Maize Association Panel (282)
Pa880:8042MABXX:4:F2,Pa880,Pa880,Goodman,Pa880,,Maize Association Panel (282)
Pa880:C07W2ACXX:1:H8,Pa880,Pa880,Goodman,Pa880,,Maize Association Panel (282)
Pa880:C07W2ACXX:2:H8,Pa880,Pa880,Goodman,Pa880,,Maize Association Panel (282)
Pa880:D0D0BACXX:1:H8,Pa880,Pa880,Goodman,Pa880,,Maize Association Panel (282)
Pa880:D0D7RACXX:1:H8,Pa880,Pa880,Goodman,Pa880,,Maize Association Panel (282)
Pa880:D0D7RACXX:2:H8,Pa880,Pa880,Goodman,Pa880,,Maize Association Panel (282)
Pa91:627C3AAXX:7:E5,Pa91,Pa91,Goodman,Pa91,,Maize Association Panel (282)
Pa91:8042MABXX:4:E5,Pa91,Pa91,Goodman,Pa91,,Maize Association Panel (282)
PI186182:81FE8ABXX:7:G10,INBRED378,INBRED 378,NCRPIS,PI 186182,73ncai01 SD,
PI186183:81N4HABXX:1:C1,INBRED379,INBRED 379,NCRPIS,PI 186183,86ncab01 SD,
PI186184:81N4HABXX:3:D7,INBRED381,INBRED 381,NCRPIS,PI 186184,63ncai01 SD,
PI186185:81N4HABXX:7:H7,INBRED605,INBRED 605,NCRPIS,PI 186185,89ncab01 SD,
PI186187:81FENABXX:1:D8,INBRED610,INBRED 610,NCRPIS,PI 186187,76ncai01 SD,
PI186188:81FENABXX:4:D9,INBRED619,INBRED 619,NCRPIS,PI 186188,69ncai01 SD,
PI186190:81FE8ABXX:6:E1,INBRED624,INBRED 624,NCRPIS,PI 186190,66ncai01 SD,
PI186191:D0D0BACXX:4:E5,INBRED627,INBRED 627,NCRPIS,PI 186191,12343,
PI186192:81FENABXX:2:C1,INBRED45,INBRED 45,NCRPIS,PI 186192,73ncai01 SD,
PI186193:81N4HABXX:1:A6,INBREDA-243-1,INBRED A-243-1,NCRPIS,PI 186193,85ncab01 SD,
PI186195:81N4HABXX:3:E4,INBRED41,INBRED 41,NCRPIS,PI 186195,82ncai01 SD,
PI186196:81FENABXX:1:D4,INBRED109,INBRED 109,NCRPIS,PI 186196,85ncab01 SD,
PI186197:81N4HABXX:2:B12,INBRED100,INBRED 100,NCRPIS,PI 186197,84ncab01 SD,
PI186198:81N4HABXX:2:B10,INBRED64,INBRED 64,NCRPIS,PI 186198,67ncai01 SD,
PI186199:81FENABXX:2:F2,INBRED141,INBRED 141,NCRPIS,PI 186199,84ncab01 SD,
PI186215:81FE7ABXX:4:A12,INBRED2-687,INBRED 2-687,NCRPIS,PI 186215,72ncai01 SD,
PI186215:D0D0BACXX:3:B1,INBRED2-687,INBRED 2-687,NCRPIS,PI 186215,11184,
PI186216:81FE8ABXX:7:F2,INBRED1-1265,INBRED 1-1265,NCRPIS,PI 186216,67ncai01 SD,
PI186217:81N4HABXX:7:F3,INBRED19-86,INBRED 19-86,NCRPIS,PI 186217,78ncai01 SD,
PI186218:81FENABXX:1:C5,INBRED34-1141,INBRED 34-1141,NCRPIS,PI 186218,77ncai01 SD,
PI186219:81FE8ABXX:7:B11,INBRED34-1181,INBRED 34-1181,NCRPIS,PI 186219,79ncai01 SD,
PI186220:81FENABXX:5:B10,INBRED34-1196,INBRED 34-1196,NCRPIS,PI 186220,77ncai01 SD,
PI186221:81FE7ABXX:4:H6,INBRED39-1084,INBRED 39-1084,NCRPIS,PI 186221,03ncai01 SD,
PI186223:81N4HABXX:2:E10,INBRED41-1781,INBRED 41-1781,NCRPIS,PI 186223,78ncai01 SD,
PI186224:81FE7ABXX:5:B9,INBRED42-492,INBRED 42-492,NCRPIS,PI 186224,79ncai01 SD,
PI186226:81FE7ABXX:4:C8,INBRED305,INBRED 305,NCRPIS,PI 186226,95ncab01 SD,
PI186227:81FE8ABXX:1:D2,INBRED309,INBRED 309,NCRPIS,PI 186227,84ncab01 SD,
PI186228:81N4HABXX:6:A9,INBRED317,INBRED 317,NCRPIS,PI 186228,79ncai01 SD,
PI186229:81FE7ABXX:3:B9,INBRED321,INBRED 321,NCRPIS,PI 186229,72ncai01 SD,
PI186230:81FE7ABXX:6:H1,INBRED334,INBRED 334,NCRPIS,PI 186230,72ncai01 SD,
PI186231:81FE7ABXX:1:F4,INBRED358,INBRED 358,NCRPIS,PI 186231,72ncai01 SD,
PI198888:81FE8ABXX:7:F6,4F-35BK,4F-35 BK,NCRPIS,PI 198888,78ncai01 SD,
PI198889:81FENABXX:4:E8,4F-182BS11,4F-182 BS 11,NCRPIS,PI 198889,89ncai01 SD,
PI198890:81FENABXX:5:F1,4F-203AM6,4F-203 AM 6,NCRPIS,PI 198890,79ncai01 SD,
PI198892:81FE7ABXX:1:E10,4F-234BX4,4F-234 BX 4,NCRPIS,PI 198892,79ncai01 SD,
PI198893:81N4HABXX:6:B4,4F-240BX16,4F-240 BX 16,NCRPIS,PI 198893,74ncai01 SD,
PI198894:81FE8ABXX:5:H7,4F-259HQ,4F-259 HQ,NCRPIS,PI 198894,66ncai01 SD,
PI198895:81FE8ABXX:1:A1,4F-285TX15,4F-285 TX 15,NCRPIS,PI 198895,74ncai01 SD,
PI198896:81FENABXX:5:B3,4F-300AD3,4F-300 AD 3,NCRPIS,PI 198896,85ncab01 SD,
PI198897:81FENABXX:1:C12,4F-306108,4F-306 108,NCRPIS,PI 198897,85ncab01 SD,
PI198901:81FENABXX:5:B6,4F-342CM4,4F-342 CM 4,NCRPIS,PI 198901,78ncai01 SD,
PI198901:C07W2ACXX:1:F5,4F-342CM4,4F-342 CM 4,NCRPIS,PI 198901,78ncai01 SD,
PI198901:C07W2ACXX:2:F5,4F-342CM4,4F-342 CM 4,NCRPIS,PI 198901,78ncai01 SD,
PI198901:D0D0BACXX:1:F5,4F-342CM4,4F-342 CM 4,NCRPIS,PI 198901,78ncai01 SD,
PI198901:D0D7RACXX:1:F5,4F-342CM4,4F-342 CM 4,NCRPIS,PI 198901,78ncai01 SD,
PI198901:D0D7RACXX:2:F5,4F-342CM4,4F-342 CM 4,NCRPIS,PI 198901,78ncai01 SD,
PI198902:81FENABXX:5:F4,4F-345CN12,4F-345 CN 12,NCRPIS,PI 198902,84ncab01 SD,
PI198903:D0D0BACXX:4:G5,4F-350CN2,4F-350 CN 2,NCRPIS,PI 198903,12363,
PI198904:81FENABXX:4:F1,4F-353CN33,4F-353 CN 33,NCRPIS,PI 198904,73ncai01 SD,
PI198905:81FENABXX:3:D11,4F-374GE3,4F-374 GE 3,NCRPIS,PI 198905,72ncai01 SD,
PI198906:81FE8ABXX:7:H1,4F-403JV15,4F-403 JV 15,NCRPIS,PI 198906,67ncai01 SD,
PI200179:81N4HABXX:7:C12,NY3NevehYaar,NY 3 (Neveh Yaar),NCRPIS,PI 200179,72ncai01 SD,
PI200180:81FE8ABXX:1:H9,NY51NevehYaar,NY 51 (Neveh Yaar),NCRPIS,PI 200180,62ncai01 SD,
PI200181:81FENABXX:2:F7,NY65NevehYaar,NY 65 (Neveh Yaar),NCRPIS,PI 200181,88ncai01 SD,
PI200182:81FENABXX:2:H2,NY159NevehYaar,NY 159 (Neveh Yaar),NCRPIS,PI 200182,77ncai01 SD,
PI200182:C07W2ACXX:1:D4,NY159NevehYaar,NY 159 (Neveh Yaar),NCRPIS,PI 200182,77ncai01 SD,
PI200182:C07W2ACXX:2:D4,NY159NevehYaar,NY 159 (Neveh Yaar),NCRPIS,PI 200182,77ncai01 SD,
PI200182:D0D0BACXX:1:D4,NY159NevehYaar,NY 159 (Neveh Yaar),NCRPIS,PI 200182,77ncai01 SD,
PI200182:D0D7RACXX:1:D4,NY159NevehYaar,NY 159 (Neveh Yaar),NCRPIS,PI 200182,77ncai01 SD,
PI200182:D0D7RACXX:2:D4,NY159NevehYaar,NY 159 (Neveh Yaar),NCRPIS,PI 200182,77ncai01 SD,
PI200184:81FE7ABXX:2:D10,NY166NevehYaar,NY 166 (Neveh Yaar),NCRPIS,PI 200184,90ncai01 SD,
PI200185:81N4HABXX:7:A5,NY188NevehYaar,NY 188 (Neveh Yaar),NCRPIS,PI 200185,95ncab01 SD,
PI200187:81FE7ABXX:7:D3,NY318NeveyYaar,NY 318 (Nevey Yaar),NCRPIS,PI 200187,84ncab01 SD,
PI200188:81FENABXX:2:D2,NY364NevehYaar,NY 364 (Neveh Yaar),NCRPIS,PI 200188,84ncab01 SD,
PI200189:81FE8ABXX:6:A12,NY428NevehYaar,NY 428 (Neveh Yaar),NCRPIS,PI 200189,88ncai02 SD,
PI200191:81FE8ABXX:5:B11,NY476NevehYaar,NY 476 (Neveh Yaar),NCRPIS,PI 200191,82ncai01 SD,
PI200192:81FENABXX:4:H6,NY592NevehYaar,NY 592 (Neveh Yaar),NCRPIS,PI 200192,88ncab01 SD,
PI200193:81FE8ABXX:7:B9,NY643NevehYaar,NY 643 (Neveh Yaar),NCRPIS,PI 200193,88ncab01 SD,
PI200193:C07W2ACXX:1:C3,NY643NevehYaar,NY 643 (Neveh Yaar),NCRPIS,PI 200193,88ncab01 SD,
PI200193:C07W2ACXX:2:C3,NY643NevehYaar,NY 643 (Neveh Yaar),NCRPIS,PI 200193,88ncab01 SD,
PI200193:D0D0BACXX:1:C3,NY643NevehYaar,NY 643 (Neveh Yaar),NCRPIS,PI 200193,88ncab01 SD,
PI200193:D0D7RACXX:1:C3,NY643NevehYaar,NY 643 (Neveh Yaar),NCRPIS,PI 200193,88ncab01 SD,
PI200193:D0D7RACXX:2:C3,NY643NevehYaar,NY 643 (Neveh Yaar),NCRPIS,PI 200193,88ncab01 SD,
PI200194:81N4HABXX:7:F8,NY971NevehYaar,NY 971 (Neveh Yaar),NCRPIS,PI 200194,78ncai01 SD,
PI200195:81FENABXX:3:C2,NY992NevehYaar,NY 992 (Neveh Yaar),NCRPIS,PI 200195,81ncai01 SD,
PI200196:81N4HABXX:5:E11,NY1000NevehYaar,NY 1000 (Neveh Yaar),NCRPIS,PI 200196,66ncai01 SD,
PI221733:81FE7ABXX:7:B8,A13-2INBREDPOTCHEFSTROOMPEARL,A13-2 INBRED (POTCHEFSTROOM PEARL),NCRPIS,PI 221733,84ncab01 SD,
PI221734:81N4HABXX:3:D4,A14INBREDPOTCHEFSTROOMPEARL,A14 INBRED (POTCHEFSTROOM PEARL),NCRPIS,PI 221734,95ncai01 SD,
PI221735:81N4HABXX:3:F9,A15-1INBREDPOTCHEFSTROOMPEARL,A15-1 INBRED (POTCHEFSTROOM PEARL),NCRPIS,PI 221735,84ncab01 SD,
PI221736:81FE7ABXX:7:B11,A16-3-2INBREDPOTCHEFSTROOMPEARL,A16-3-2 INBRED (POTCHEFSTROOM PEARL),NCRPIS,PI 221736,84ncab01 SD,
PI221737:81FE7ABXX:6:D10,A17-1-1INBREDPOTCHEFSTROOMPEARL,A17-1-1 INBRED (POTCHEFSTROOM PEARL),NCRPIS,PI 221737,87ncab01 SD,
PI221737:D0D0BACXX:4:A4,A17-1-1INBREDPOTCHEFSTROOMPEARL,A17-1-1 INBRED (POTCHEFSTROOM PEARL),NCRPIS,PI 221737,12861,
PI221738:81N4HABXX:2:D12,A20-4INBREDHICKORYKING,A20-4 INBRED (HICKORY KING),NCRPIS,PI 221738,86ncab01 SD,
PI221739:81FE7ABXX:7:C5,A21-4-1INBREDHICKORYKING,A21-4-1 INBRED (HICKORY KING),NCRPIS,PI 221739,87ncab01 SD,
PI221741:81FE7ABXX:2:D11,A22-3-1INBREDHICKORYKING,A22-3-1 INBRED (HICKORY KING),NCRPIS,PI 221741,97ncai01 SD,
PI221743:81FE8ABXX:6:H12,N72-3-1-1INBRED,N72-3-1-1 INBRED,NCRPIS,PI 221743,85ncab01 SD,
PI221747:81FE8ABXX:7:A12,E205-1-1-1INBREDS5SYN.ANVELD,E205-1-1-1 INBRED (S5 SYN. ANVELD),NCRPIS,PI 221747,08ncai01 SD,
PI221747:D0D0BACXX:3:E5,E205-1-1-1INBREDS5SYN.ANVELD,E205-1-1-1 INBRED (S5 SYN. ANVELD),NCRPIS,PI 221747,10291,
PI221749:81N4HABXX:1:B6,E199-1-1INBREDS5SYN.ANVELD40,E199-1-1 INBRED (S5 SYN. ANVELD 40),NCRPIS,PI 221749,78ncai01 SD,
PI221750:81N4HABXX:6:E1,E292-1-1-1INBS5SYNANVELDXMINN.706,E292-1-1-1 INB(S5 SYN ANVELD X MINN.706),NCRPIS,PI 221750,85ncab01 SD,
PI221773:81FE7ABXX:1:A11,A415-1-3INBRED,A415-1-3 INBRED,NCRPIS,PI 221773,80ncai01 SD,
PI221775:81FE7ABXX:2:A6,A436-1INBRED,A436-1 INBRED,NCRPIS,PI 221775,03ncai01 SD,
PI221785:81FE7ABXX:2:B6,A468-1INBRED,A468-1 INBRED,NCRPIS,PI 221785,79ncai01 SD,
PI221788:81FE7ABXX:4:E12,E680-2-1-3S5INBRED,E680-2-1-3(S5) INBRED,NCRPIS,PI 221788,82ncai01 SD,
PI221789:81FENABXX:2:C7,E683-1-2-1S5INBRED,E683-1-2-1(S5) INBRED,NCRPIS,PI 221789,85ncab01 SD,
PI221790:81FE7ABXX:4:D10,E684-1-1-1S5INBRED,E684-1-1-1(S5) INBRED,NCRPIS,PI 221790,83ncei01 SD,
PI221790:D0D0BACXX:4:E2,E684-1-1-1S5INBRED,E684-1-1-1(S5) INBRED,NCRPIS,PI 221790,12779,
PI221794:81FENABXX:2:B8,E697-1-1-1S5INBRED,E697-1-1-1(S5) INBRED,NCRPIS,PI 221794,95ncab01 SD,
PI221797:81N4HABXX:2:B2,F755-2-2-1S4INBREDTEKO,F755-2-2-1(S4) INBRED (TEKO),NCRPIS,PI 221797,84ncab01 SD,
PI221804:81FENABXX:5:C4,A242-2S10INBREDPERUVIAN,A242-2(S10) INBRED (PERUVIAN),NCRPIS,PI 221804,80ncai01 SD,
PI221805:81FENABXX:5:F9,A243-1-2S10INBREDPERUVIAN,A243-1-2(S10) INBRED (PERUVIAN),NCRPIS,PI 221805,87ncab01 SD,
PI221806:81FENABXX:7:B3,A256-1S10INBREDPERUVIAN,A256-1(S10) INBRED (PERUVIAN),NCRPIS,PI 221806,87ncab01 SD,
PI221811:81FENABXX:5:E7,A302-1-2S10INBREDSERVENTINA,A302-1-2(S10) INBRED (SERVENTINA),NCRPIS,PI 221811,78ncai01 SD,
PI221813:81N4HABXX:7:C5,A325-1S10INBREDHOTNOT,A325-1(S10) INBRED (HOTNOT),NCRPIS,PI 221813,84ncab01 SD,
PI221817:81FENABXX:4:B9,A413-3A-1-1S10INBREDROBYN,A413-3A-1-1(S10) INBRED (ROBYN),NCRPIS,PI 221817,78ncai01 SD,
PI221820:81FE7ABXX:6:B6,C410-1F11INBREDHOTNOTCROSSES,C410-1(F11) INBRED (HOTNOT CROSSES),NCRPIS,PI 221820,78ncai01 SD,
PI221821:81FE7ABXX:5:G1,E680-3-1-1S6INBRED,E680-3-1-1(S6) INBRED,NCRPIS,PI 221821,82ncai01 SD,
PI221822:81FE7ABXX:7:H3,E783-1-2-1S6STS.4222INBRED,E783-1-2-1(S6) STS. 4222 INBRED,NCRPIS,PI 221822,04ncai01 SD,
PI233312:81N4HABXX:6:G8,42,42,NCRPIS,PI 233312,82ncai01 SD,
PI233313:81FENABXX:6:D11,176,176,NCRPIS,PI 233313,82ncai01 SD,
PI233314:81FENABXX:6:H5,226,226,NCRPIS,PI 233314,03ncai01 SD,
PI233314:C07W2ACXX:1:H5,226,226,NCRPIS,PI 233314,03ncai01 SD,
PI233314:C07W2ACXX:2:H5,226,226,NCRPIS,PI 233314,03ncai01 SD,
PI233314:D0D0BACXX:1:H5,226,226,NCRPIS,PI 233314,03ncai01 SD,
PI233314:D0D7RACXX:1:H5,226,226,NCRPIS,PI 233314,03ncai01 SD,
PI233314:D0D7RACXX:2:H5,226,226,NCRPIS,PI 233314,03ncai01 SD,
PI233315:81FENABXX:2:C10,277,277,NCRPIS,PI 233315,85ncab01 SD,
PI233316:81FENABXX:6:C10,469,469,NCRPIS,PI 233316,82ncai01 SD,
PI233317:81N4HABXX:5:G1,592,592,NCRPIS,PI 233317,85ncab01 SD,
PI233318:81FE8ABXX:4:C1,789,789,NCRPIS,PI 233318,80ncai01 SD,
PI233319:81FENABXX:6:B8,829,829,NCRPIS,PI 233319,95ncai01 SD,
PI233320:81FE8ABXX:5:A9,883,883,NCRPIS,PI 233320,71ncai01 SD,
PI233320:D0D0BACXX:3:G3,883,883,NCRPIS,PI 233320,10193,
PI233321:81FE8ABXX:4:E7,908,908,NCRPIS,PI 233321,82ncai01 SD,
PI233322:81FE8ABXX:6:A9,909,909,NCRPIS,PI 233322,85ncab01 SD,
PI233323:81FENABXX:3:D7,884,884,NCRPIS,PI 233323,67ncai01 SD,
PI236997:81FENABXX:6:G11,Inbred6-907,Inbred 6-907,NCRPIS,PI 236997,63ncai01 SD,
